EVE,YEAR,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,BOAT_CODE,WS_CODE,BOAT_LENGTH,BOAT_DIST,BOAT_DROP,DROP_POSITION,BOAT_VIOLATE,BOAT_VIOLATE_DROP
22_E98,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P4,107,42,14AUG22_F01_P4_0042_B02,14AUG22_F01_P4_0042_S01,10.577,2.595,N/A,N/A,violate min dis,no violate drop off
22_E98,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P4,107,42,14AUG22_F01_P4_0042_B03,14AUG22_F01_P4_0042_S01,10.458,7.108,N/A,N/A,violate min dis,no violate drop off
22_E99,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P4,57,28,14AUG22_F01_P4_0028_B01,14AUG22_F01_P4_0028_S01,10.291,5.234,N/A,N/A,violate min dis,no violate drop off
22_E99,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P4,57,28,14AUG22_F01_P4_0028_B02,14AUG22_F01_P4_0028_S02,9.127,7.962,N/A,N/A,violate min dis,no violate drop off
22_E100,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,115,14AUG22_F02_P1_0115_B01,14AUG22_F02_P1_0115_S01,8.921,3.639,3.639,side,violate min dis,violate drop off
22_E100,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,115,14AUG22_F02_P1_0115_B02,14AUG22_F02_P1_0115_S02,8.858,5.108,N/A,N/A,violate min dis,no violate drop off
22_E100,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,115,14AUG22_F02_P1_0115_B03,14AUG22_F02_P1_0115_S03,10.451,10.08,N/A,N/A,violate min dis,no violate drop off
22_E101,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,148,14AUG22_F02_P1_0148_B01,14AUG22_F02_P1_0148_S02,10.829,0,N/A,N/A,violate min dis,no violate drop off
22_E101,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,148,14AUG22_F02_P1_0148_B02,14AUG22_F02_P1_0148_S03,10.604,2.039,N/A,N/A,violate min dis,no violate drop off
22_E102,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,210,14AUG22_F02_P1_0210_B01,14AUG22_F02_P1_0210_S01,9.875,5.103,N/A,N/A,violate min dis,no violate drop off
22_E102,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,210,14AUG22_F02_P1_0210_B02,14AUG22_F02_P1_0210_S02,10.351,5.966,5.966,side,violate min dis,violate drop off
