EVE,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,SWIM_CODE,WS_CODE,G_NO_SWIM,H_OR_T,SWIM_DIST,NO_TOUCHING,SWIM_VIOLATION
22_E85,14-Aug-49,14AUG22_F01,14AUG22_F01_P1,451,245,14AUG22_F01_P1_0245_G02,14AUG22_F01_P1_0245_S01,2,head,0,0,violate
22_E85,14-Aug-50,14AUG22_F01,14AUG22_F01_P1,451,245,14AUG22_F01_P1_0245_G03,14AUG22_F01_P1_0245_S01,2,tail,0,0,violate
22_E85,14-Aug-51,14AUG22_F01,14AUG22_F01_P1,451,245,14AUG22_F01_P1_0245_G04,14AUG22_F01_P1_0245_S01,2,tail,0,0,violate
22_E85,14-Aug-52,14AUG22_F01,14AUG22_F01_P1,451,245,14AUG22_F01_P1_0245_G05,14AUG22_F01_P1_0245_S01,3,tail,0,0,violate
22_E86,14-Aug-53,14AUG22_F01,14AUG22_F01_P1,451,337,14AUG22_F01_P1_0337_G01,14AUG22_F01_P1_0337_S01,4,head,4,4,violate
22_E86,14-Aug-54,14AUG22_F01,14AUG22_F01_P1,451,337,14AUG22_F01_P1_0337_G02,14AUG22_F01_P1_0337_S01,3,head,0,0,violate
22_E86,14-Aug-55,14AUG22_F01,14AUG22_F01_P1,451,337,14AUG22_F01_P1_0337_G03,14AUG22_F01_P1_0337_S01,3,tail,0,0,violate
22_E86,14-Aug-56,14AUG22_F01,14AUG22_F01_P1,451,337,14AUG22_F01_P1_0337_G05,14AUG22_F01_P1_0337_S01,3,tail,0,0,violate
22_E86,14-Aug-57,14AUG22_F01,14AUG22_F01_P1,451,337,14AUG22_F01_P1_0337_G06,14AUG22_F01_P1_0337_S01,3,tail,1,1,violate
22_E87,14-Aug-58,14AUG22_F01,14AUG22_F01_P1,451,412,14AUG22_F01_P1_0412_G01,14AUG22_F01_P1_0412_S01,3,tail,1,1,violate
22_E87,14-Aug-59,14AUG22_F01,14AUG22_F01_P1,451,412,14AUG22_F01_P1_0412_G03,14AUG22_F01_P1_0412_S01,2,head,0,0,violate
22_E87,14-Aug-60,14AUG22_F01,14AUG22_F01_P1,451,412,14AUG22_F01_P1_0412_G04,14AUG22_F01_P1_0412_S01,3,head,0,0,violate
22_E87,14-Aug-61,14AUG22_F01,14AUG22_F01_P1,451,412,14AUG22_F01_P1_0412_G05,14AUG22_F01_P1_0412_S01,3,tail,0,0,violate
22_E87,14-Aug-62,14AUG22_F01,14AUG22_F01_P1,451,412,14AUG22_F01_P1_0412_G06,14AUG22_F01_P1_0412_S01,3,tail,0,0,violate
22_E87,14-Aug-63,14AUG22_F01,14AUG22_F01_P1,451,412,14AUG22_F01_P1_0412_G07,14AUG22_F01_P1_0412_S01,2,tail,0,0,violate
