"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_SWIM_VIOLATIONS","SUM_TOUCH_VIOLATIONS","POLICE_PRESENCE","FRE_SWIM_VIOLATION","RATE_SWIM_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","RATE_SUM_SWIM","PERCENTAGE_SWIM_VIO","PERCENTAGE_TOUCH","AVE_FOOTAGE_AREA_km","FRE_SWIM_VIOLATION_min","FRE_SWIM_VIOLATION_min_count","FRE_TOUCH_min","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_SWIM_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"21","26AUG16090201406","2016","Friday","2016-08-26",418,37472.127,403,168,165,37,0,"no",0.0885167464114833,0.000987400581771086,0.00448333237128493,0.0107546603906418,0.00440327286465484,0.224242424242424,0,0.037472127,5.31,5,0,23.68,24.11,57.85,4.05785345363969,2,0.0015438141528502,-6.47349920194928,0.41,-0.891598119283784,1.66959183525385,3.1646308100158,3.18262669219308,"2016_Friday"
"22","26AUG16093101503","2016","Friday","2016-08-26",287,38476.609,245,107,75,19,0,"no",0.0662020905923345,0.000493806509820031,0.00278091034477597,0.00636750499504777,0.00194923622297381,0.253333333333333,0,0.038476609,3.97,4,0,15.68,22.37,51.22,3.93613008077138,2,0.00133119839120958,-6.62167569642452,0.31,-1.17118298150295,1.3787660946991,2.75238601492226,3.10772077550204,"2016_Friday"
"23","26AUG16093101505","2016","Friday","2016-08-26",509,38309.622,284,174,228,31,0,"no",0.0609037328094303,0.000809196185751976,0.00454193988131754,0.00741328118559875,0.00595150743069195,0.135964912280702,0,0.038309622,3.65,4,0,26.88,20.51,33.48,3.51094824562127,2,0.000873931880612134,-7.04250812514925,0.8,-0.22314355131421,1.2947271675944,3.29138251565495,3.02091257208429,"2016_Friday"
"24","26AUG16100001601","2016","Friday","2016-08-26",207,38203.712,104,68,115,18,0,"no",0.0869565217391304,0.000471158404712087,0.00177993175113455,0.00272224856055872,0.00301017869677166,0.156521739130435,0,0.038203712,5.22,5,0,33.33,19.71,30.14,3.40585319319835,2,0.000788928573223461,-7.14483476945022,1.11,0.104360015324243,1.65249740189455,3.50645789231965,2.98112612116463,"2016_Friday"
"25","26AUG16100001603","2016","Friday","2016-08-26",561,38670.734,394,254,312,60,0,"no",0.106951871657754,0.00155156092977185,0.00656827460270084,0.0101885834388352,0.00806811683481364,0.192307692307692,0,0.038670734,6.42,6,0,33.37,27.17,42.14,3.74099740837604,2,0.00108971295967643,-6.82184095716748,0.79,-0.23572233352107,1.85941811770187,3.50765729276328,3.30211342343826,"2016_Friday"
"26","26AUG16103801701","2016","Friday","2016-08-26",561,38705.512,531,265,282,60,0,"no",0.106951871657754,0.00155016680828302,0.00684657006991666,0.0137189762533047,0.00728578399893018,0.212765957446809,0,0.038705512,6.42,6,0,30.16,28.34,56.79,4.03936025388934,2,0.00146723288403988,-6.52437704392706,0.53,-0.63487827243597,1.85941811770187,3.40651654313976,3.34427423426253,"2016_Friday"
"27","26AUG16103801702","2016","Friday","2016-08-26",265,38564.01,201,132,93,20,0,"no",0.0754716981132075,0.000518618266098365,0.00342288055624921,0.00521211357428857,0.0024115749373574,0.21505376344086,0,0.03856401,4.53,5,0,21.06,29.89,45.51,3.81793208202855,2,0.00118011586450683,-6.74214265506489,0.46,-0.776528789498996,1.51072193949494,3.04737550670583,3.39752397629585,"2016_Friday"
"28","26AUG16110101801","2016","Friday","2016-08-26",561,38829.101,330,205,207,47,0,"no",0.0837789661319073,0.00121043235072581,0.00527954535954876,0.00849878033488337,0.00533105311915411,0.227053140096618,0,0.038829101,5.03,5,0,22.14,21.93,35.29,3.56359963768718,2,0.000908854418236466,-7.00332563256861,0.63,-0.462035459596559,1.61541998411165,3.09738592728049,3.0878555624298,"2016_Friday"
"29","26AUG16110101802","2016","Friday","2016-08-26",356,37686.366,183,110,132,21,0,"no",0.0589887640449438,0.00055723069717043,0.00291882746136892,0.00485586750391375,0.0035025929536427,0.159090909090909,0,0.037686366,3.54,4,0,22.25,18.54,30.84,3.42881254869513,2,0.000818333080987432,-7.10824111476947,0.72,-0.328504066972036,1.26412672714568,3.10234200861225,2.91993056013771,"2016_Friday"
"30","26AUG16112101901","2016","Friday","2016-08-26",562,38182.378,382,238,237,38,0,"no",0.0676156583629893,0.000995223503365872,0.00623324194213362,0.0100046152180464,0.00620705184993978,0.160337552742616,0,0.038182378,4.06,4,0,25.3,25.41,40.78,3.70819176514631,2,0.00106803195966474,-6.84193761411215,0.62,-0.478035800943,1.40118297361364,3.23080439573347,3.23514279733207,"2016_Friday"
