"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_BOAT_VIOLATIONS","POLICE_PRESENCE","FRE_BOAT_VIOLATION","RATE_BOAT_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","AVE_FOOTAGE_AREA_km","FRE_BOAT_VIOLATION_min","FRE_BOAT_VIOLATION_min_count","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_BOAT_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"36","27AUG16093302302","2016","Saturday","2016-08-27",368,38720.026,49,36,36,6,"no",0.016304347826087,0.000154958573633189,0.000929751441799135,0.00126549501800438,0.038720026,0.98,1,5.87,5.87,7.99,2.07819075977818,2,0.00020635316722153,-8.48592145309971,0.73,-0.3147107448397,-0.0202027073175195,1.76985463384001,1.76985463384001,"2016_Saturday"
"37","27AUG16100602401","2016","Saturday","2016-08-27",561,38454.172,109,52,78,12,"no",0.0213903743315508,0.000312059768183281,0.00135225899546088,0.00283454289433147,0.038454172,1.28,1,8.34,5.56,11.66,2.45616418092235,2,0.000303218074751421,-8.10105829267662,0.72,-0.328504066972036,0.246860077931526,2.12106321637066,1.71559810826249,"2016_Saturday"
"38","27AUG16100602402","2016","Saturday","2016-08-27",360,37908.769,25,20,24,4,"no",0.0111111111111111,0.000105516483534456,0.00052758241767228,0.000659478022090351,0.037908769,0.67,1,4,3.33,4.17,1.42791603581071,2,0.00011000093408467,-9.11502170052909,0.96,-0.0408219945202552,-0.400477566597125,1.38629436111989,1.20297230399235,"2016_Saturday"
"39","27AUG16104902501","2016","Saturday","2016-08-27",560,38647.68,100,78,102,22,"no",0.0392857142857143,0.000569245036183284,0.00201823240101346,0.00258747743719675,0.03864768,2.36,2,10.93,8.36,10.71,2.37117788445966,2,0.000277118833523772,-8.19106414188106,1.02,0.0198026272961797,0.858661619037519,2.39151130218845,2.12345842709661,"2016_Saturday"
"40","27AUG16104902502","2016","Saturday","2016-08-27",368,38830.731,27,12,13,4,"no",0.0108695652173913,0.000103011194921878,0.000309033584765633,0.000695325565722675,0.038830731,0.65,1,2.12,1.96,4.4,1.48160454092422,2,0.000113312314414066,-9.08536270727457,0.48,-0.7339691750802,-0.430782916092454,0.751416088683921,0.672944473242426,"2016_Saturday"
"41","27AUG16112502601","2016","Saturday","2016-08-27",562,38342.819,118,55,84,26,"no",0.0462633451957295,0.00067809307395995,0.00143442765645374,0.00307749933566439,0.038342819,2.78,3,8.97,5.87,12.6,2.53369681395743,2,0.00032861433584213,-8.02062572628252,0.71,-0.342490308946776,1.02245092770255,2.1938856760707,1.76985463384001,"2016_Saturday"
"42","27AUG16112502602","2016","Saturday","2016-08-27",315,25991.28,9,4,9,1,"no",0.00317460317460317,3.8474442197537e-05,0.000153897768790148,0.000346269979777833,0.02599128,0.19,0,1.71,0.76,1.71,0.536493370514568,2,6.57912961577883e-05,-9.62902300561967,1,0,-1.66073120682165,0.536493370514568,-0.27443684570176,"2016_Saturday"
"43","27AUG16114902702","2016","Saturday","2016-08-27",355,42149.839,13,3,3,1,"no",0.0028169014084507,2.37248830298023e-05,7.1174649089407e-05,0.00030842347938743,0.042149839,0.17,0,0.51,0.51,2.2,0.78845736036427,2,5.21947426655651e-05,-9.86052878336686,0.23,-1.46967597005894,-1.77195684193188,-0.673344553263766,-0.673344553263766,"2016_Saturday"
"44","28AUG16075203003","2016","Sunday","2016-08-28",561,36057.28,37,8,24,3,"no",0.0053475935828877,8.32009513751453e-05,0.000221869203667054,0.00102614506696013,0.03605728,0.32,0,2.57,0.86,3.96,1.37624402526639,2,0.000109825255815192,-9.11662003880679,0.65,-0.430782916092454,-1.13943428318836,0.943905898907128,-0.150822889734584,"2016_Sunday"
"45","28AUG16083203101","2016","Sunday","2016-08-28",561,36601.326,23,9,24,5,"no",0.0089126559714795,0.000136607072650865,0.000245892730771557,0.00062839253419398,0.036601326,0.53,1,2.57,0.96,2.46,0.900161349944271,2,6.72106797442257e-05,-9.60767839829711,1.04,0.0392207131532813,-0.63487827243597,0.943905898907128,-0.0408219945202552,"2016_Sunday"
"46","28AUG16083203102","2016","Sunday","2016-08-28",399,24674.548,3,3,8,1,"no",0.0025062656641604,4.05275914274093e-05,0.000121582774282228,0.000121582774282228,0.024674548,0.15,0,1.2,0.45,0.45,-0.798507696217772,2,1.82374161423342e-05,-10.9120352422159,2.67,0.982078472412158,-1.89711998488588,0.182321556793955,-0.798507696217772,"2016_Sunday"
"47","28AUG16093003201","2016","Sunday","2016-08-28",560,41378.576,8,7,15,3,"no",0.00535714285714286,7.25012866561672e-05,0.00016916966886439,0.000193336764416446,0.041378576,0.32,0,1.61,0.75,0.86,-0.150822889734584,2,2.07837021747679e-05,-10.7813414276822,1.87,0.625938430866495,-1.13943428318836,0.476234178996372,-0.287682072451781,"2016_Sunday"
"48","28AUG16093003202","2016","Sunday","2016-08-28",326,39564.726,7,5,10,1,"no",0.00306748466257669,2.5275039185157e-05,0.000126375195925785,0.000176925274296099,0.039564726,0.18,0,1.84,0.92,1.29,0.254642218373581,2,3.26048005488525e-05,-10.331051024333,1.43,0.357674444271816,-1.71479842809193,0.609765571620894,-0.083381608939051,"2016_Sunday"
"49","28AUG16102303301","2016","Sunday","2016-08-28",540,36449.84,7,24,27,4,"no",0.00740740740740741,0.000109739850709907,0.000658439104259443,0.000192044738742337,0.03644984,0.44,0,3,2.67,0.78,-0.2484613592985,2,2.13992708884319e-05,-10.7521537071509,3.85,1.34807314829969,-0.82098055206983,1.09861228866811,0.982078472412158,"2016_Sunday"
"50","28AUG16102303304","2016","Sunday","2016-08-28",433,42919.754,7,16,37,3,"no",0.0069284064665127,6.98978843168579e-05,0.000372788716356576,0.000163095063406002,0.042919754,0.42,0,5.13,2.22,0.97,-0.0304592074847086,2,2.26003159291174e-05,-10.6975466726193,5.29,1.66581824587021,-0.867500567704723,1.63510565918268,0.797507195884188,"2016_Sunday"
